shift_angstrom,lr_es_kj_mol,lr_pol_kj_mol,target_lr_espol_kj_mol,es_kj_mol,pol_kj_mol,target_total_espol_kj_mol,weight
-0.8000000000,-25.8840961456,-14.3630342484,-40.2471303940,-60.5576705933,2.5588691235,-57.9988014698,1.0000000000
-0.5625000000,-20.2837047577,-7.7522268295,-28.0359315872,-28.3203678131,0.6901109815,-27.6302568316,1.0000000000
-0.3250000000,-16.0910148621,-4.5056376457,-20.5966525078,-12.6740751266,0.0748858973,-12.5991892293,1.0000000000
-0.0875000000,-12.9114131927,-2.7572083473,-15.6686215401,-5.3350157738,-0.1032810733,-5.4382968470,1.0000000000
0.1500000000,-10.4698009491,-1.7537368536,-12.2235378027,-1.9923506975,-0.1272038519,-2.1195545495,1.0000000000
0.6250000000,-7.0836229324,-0.7741445899,-7.8577675223,0.0873935223,-0.0772472546,0.0101462677,1.0000000000
1.1000000000,-4.9559302330,-0.3736647666,-5.3295949996,0.3760613799,-0.0360586867,0.3400026932,1.0000000000
1.5750000000,-3.5679328442,-0.1934316158,-3.7613644600,0.3345904052,-0.0165560097,0.3180343956,1.0000000000
2.0500000000,-2.6318128109,-0.1060262024,-2.7378390133,0.2562831640,-0.0082160849,0.2480670791,1.0000000000
2.7625000000,-1.7316123247,-0.0469558872,-1.7785682119,0.1653363854,-0.0034948925,0.1618414929,1.0000000000
3.4750000000,-1.1827392578,-0.0226417705,-1.2053810284,0.1085011885,-0.0018023303,0.1066988582,1.0000000000
4.1875000000,-0.8331024647,-0.0116962213,-0.8447986860,0.0731114596,-0.0010439787,0.0720674809,1.0000000000
