shift_angstrom,lr_es_kj_mol,lr_pol_kj_mol,lr_disp_kj_mol,sr_es_total_kj_mol,sr_pol_total_kj_mol,exchange_kj_mol,sr_disp_kj_mol,ct_like_kj_mol,dispersion_total_kj_mol,target_total_espol_kj_mol,total_nonbonded_kj_mol,weights
-0.8000000000,-25.8840961456,-14.3630342484,-124.4130935669,-34.6735744476,16.9219033718,195.3973667100,76.2520141602,-21.5698942576,-48.1610794067,-57.9988014698,27.4204586886,1.0000000000
-0.5625000000,-20.2837047577,-7.7522268295,-58.3401336670,-8.0366630554,8.4423378110,94.9128628400,26.1214828491,-9.5319282384,-32.2186508179,-27.6302568316,-2.5038995474,1.0000000000
-0.3250000000,-16.0910148621,-4.5056376457,-31.0578536987,3.4169397354,4.5805235431,45.3666675600,9.1587219238,-4.1527925225,-21.8991317749,-12.5991892293,-13.8810975538,1.0000000000
-0.0875000000,-12.9114131927,-2.7572083473,-18.2136173248,7.5763974190,2.6539272740,21.4425748400,3.1206145287,-1.7982599805,-15.0930027962,-5.4382968470,-16.5556062395,1.0000000000
0.1500000000,-10.4698009491,-1.7537368536,-11.4748268127,8.4774502516,1.6265330017,10.0600356100,0.9357910156,-0.7797534937,-10.5390357971,-2.1195545495,-15.6018448190,1.0000000000
0.6250000000,-7.0836229324,-0.7741445899,-5.2681975365,7.1710164547,0.6968973354,2.1911486200,-0.0798217431,-0.1523809482,-5.3480192795,0.0101462677,-11.1568725314,1.0000000000
1.1000000000,-4.9559302330,-0.3736647666,-2.7419559956,5.3319916129,0.3376060799,0.4752941100,-0.1282660067,-0.0329765688,-2.8702220023,0.3400026932,-7.4174970150,1.0000000000
1.5750000000,-3.5679328442,-0.1934316158,-1.5484404564,3.9025232494,0.1768756062,0.1025960400,-0.0802528560,-0.0083609310,-1.6286933124,0.3180343956,-4.9777884746,1.0000000000
2.0500000000,-2.6318128109,-0.1060262024,-0.9277069569,2.8880959749,0.0978101175,0.0219411200,-0.0454549231,-0.0026261301,-0.9731618799,0.2480670791,-3.4436188750,1.0000000000
2.7625000000,-1.7316123247,-0.0469558872,-0.4677082598,1.8969487101,0.0434609947,0.0020944300,-0.0206796061,-0.0006588167,-0.4883878659,0.1618414929,-2.1036789082,1.0000000000
3.4750000000,-1.1827392578,-0.0226417705,-0.2547690272,1.2912404463,0.0208394403,0.0001825800,-0.0109438188,-0.0002276961,-0.2657128461,0.1066988582,-1.3644401614,1.0000000000
4.1875000000,-0.8331024647,-0.0116962213,-0.1474405974,0.9062139243,0.0106522426,0.0000141800,-0.0065749972,-0.0000938951,-0.1540155946,0.0720674809,-0.9268264685,1.0000000000
