shift_angstrom,target_lr_espol_kj_mol,predicted_lr_espol_kj_mol,lr_espol_error_kj_mol,target_total_nonbonded_kj_mol,predicted_total_nonbonded_kj_mol,total_nonbonded_error_kj_mol
-0.80000000,-40.24713039,-52.45006180,-12.20293140,27.42045869,-1251.98413086,-1279.40458955
-0.56250000,-28.03593159,-41.01082993,-12.97489834,-2.50389955,-737.84106445,-735.33716491
-0.32500000,-20.59665251,-32.58241653,-11.98576403,-13.88109755,-465.45971680,-451.57861924
-0.08750000,-15.66862154,-26.24005508,-10.57143354,-16.55560624,-309.97335815,-293.41775191
0.15000000,-12.22353780,-21.38081169,-9.15727389,-15.60184482,-215.35607910,-199.75423428
0.62500000,-7.85776752,-14.62063026,-6.76286274,-11.15687253,-114.07099915,-102.91412661
1.10000000,-5.32959500,-10.33046532,-5.00087032,-7.41749702,-65.97839355,-58.56089654
1.57500000,-3.76136446,-7.49907780,-3.73771334,-4.97778847,-40.64342499,-35.66563651
2.05000000,-2.73783901,-5.56993008,-2.83209106,-3.44361887,-26.28720093,-22.84358205
2.76250000,-1.77856821,-3.69731641,-1.91874820,-2.10367891,-14.69364738,-12.58996848
3.47500000,-1.20538103,-2.54601002,-1.34062899,-1.36444016,-8.79494858,-7.43050842
4.18750000,-0.84479869,-1.80802178,-0.96322310,-0.92682647,-5.55764246,-4.63081599
