shift_angstrom,target_lr_espol_kj_mol,predicted_lr_espol_kj_mol,target_total_nonbonded_kj_mol,predicted_total_nonbonded_kj_mol,predicted_qqtt_kj_mol,predicted_slater_sr_es_kj_mol,predicted_sr_es_total_kj_mol,predicted_slater_sr_pol_kj_mol,predicted_exchange_kj_mol,predicted_damped_dispersion_kj_mol,predicted_slater_sr_disp_kj_mol,predicted_dispersion_total_kj_mol,predicted_ct_like_kj_mol
-0.80000000,-40.24713039,-38.46100616,27.42045869,59.96434784,0.20168082,-29.64466286,-29.44298172,-0.04436431,197.67590332,-44.85387421,-3.21306586,-48.06694031,-21.69625282
-0.56250000,-28.03593159,-30.43379402,-2.50389955,9.15538979,0.07058378,-13.39156914,-13.32098579,-0.02186604,94.94860840,-30.88219070,-1.53235495,-32.41454697,-9.60202599
-0.32500000,-20.59665251,-24.36689568,-13.88109755,-10.87926102,0.02402694,-5.90529966,-5.88127279,-0.01073677,45.39978027,-21.17517471,-0.72708857,-21.90226364,-4.11787271
-0.08750000,-15.66862154,-19.71923065,-16.55560624,-17.17528343,0.00797472,-2.56660318,-2.55862856,-0.00527779,21.80014801,-14.61889076,-0.34733838,-14.96622944,-1.72606504
0.15000000,-12.22353780,-16.11422920,-15.60184482,-17.74749374,0.00257837,-1.10842741,-1.10584903,-0.00260008,10.58590126,-10.23016548,-0.16845986,-10.39862537,-0.71209371
0.62500000,-7.85776752,-11.04530048,-11.15687253,-14.06489086,0.00024413,-0.20806739,-0.20782326,-0.00062999,2.62152529,-5.27259874,-0.04207660,-5.31467533,-0.11798664
1.10000000,-5.32959500,-7.80495214,-7.41749702,-10.08784771,0.00001844,-0.04053801,-0.04051957,-0.00014939,0.69584626,-2.90746713,-0.01133381,-2.91880083,-0.01927147
1.57500000,-3.76136446,-5.66130400,-4.97778847,-7.17955065,0.00000062,-0.00834340,-0.00834277,-0.00003431,0.19566800,-1.69917512,-0.00322534,-1.70240045,-0.00313705
2.05000000,-2.73783901,-4.20029163,-3.44361887,-5.18809652,-0.00000014,-0.00182408,-0.00182421,-0.00000770,0.05735523,-1.04186630,-0.00095209,-1.04281843,-0.00050997
2.76250000,-1.77856821,-2.78294230,-2.10367891,-3.31177378,-0.00000002,-0.00020851,-0.00020852,-0.00000081,0.00955314,-0.53798240,-0.00015932,-0.53814173,-0.00003356
3.47500000,-1.20538103,-1.91242540,-1.36444016,-2.20879936,-0.00000000,-0.00002686,-0.00002686,-0.00000009,0.00163675,-0.29795402,-0.00002735,-0.29798138,-0.00000228
4.18750000,-0.84479869,-1.35498309,-0.92682647,-1.52925885,-0.00000000,-0.00000379,-0.00000379,-0.00000001,0.00028210,-0.17454919,-0.00000472,-0.17455392,-0.00000017
