shift_angstrom,target_lr_es_kj_mol,predicted_lr_es_kj_mol,error_lr_es_kj_mol,target_lr_pol_kj_mol,predicted_lr_pol_kj_mol,error_lr_pol_kj_mol,target_sr_es_total_kj_mol,predicted_sr_es_total_kj_mol,error_sr_es_total_kj_mol,target_sr_pol_total_kj_mol,predicted_sr_pol_total_kj_mol,error_sr_pol_total_kj_mol,target_exchange_kj_mol,predicted_exchange_kj_mol,error_exchange_kj_mol,target_dispersion_total_kj_mol,predicted_dispersion_total_kj_mol,error_dispersion_total_kj_mol,target_ct_like_kj_mol,predicted_ct_like_kj_mol,error_ct_like_kj_mol
-0.80000000,-25.88409615,-28.74594307,-2.86184692,-14.36303425,-46.81671906,-32.45368481,-34.67357445,-5.60676813,29.06680632,16.92190337,-105.55172729,-122.47363067,195.39736671,14.05105591,-181.34631080,-48.16107941,-1099.73889160,-1051.57781219,-21.56989426,-3.69495964,17.87493462
-0.56250000,-20.28370476,-23.19664574,-2.91294098,-7.75222683,-35.99499893,-28.24277210,-8.03666306,-4.15820551,3.87845755,8.44233781,-47.58950424,-56.03184205,94.91286284,8.73640251,-86.17646033,-32.21865082,-651.25714111,-619.03849030,-9.53192824,-3.32107210,6.21085614
-0.32500000,-16.09101486,-18.86874771,-2.77773285,-4.50563765,-28.23444748,-23.72880983,3.41693974,-3.09840393,-6.51534367,4.58052354,-23.20957947,-27.79010301,45.36666756,5.44788361,-39.91878395,-21.89913177,-409.60897827,-387.70984650,-4.15279252,-2.98194265,1.17084987
-0.08750000,-12.91141319,-15.46618080,-2.55476761,-2.75720835,-22.52002716,-19.76281881,7.57639742,-2.31940126,-9.89579868,2.65392727,-12.12454033,-14.77846760,21.44257484,3.41581678,-18.02675806,-15.09300280,-270.46463013,-255.37162733,-1.79825998,-2.67510343,-0.87684345
0.15000000,-10.46980095,-12.76907158,-2.29927063,-1.75373685,-18.21766472,-16.46392787,8.47745025,-1.74389482,-10.22134507,1.62653300,-6.70127726,-8.32781026,10.06003561,2.15590668,-7.90412893,-10.53903580,-185.61766052,-175.07862473,-0.77975349,-2.39807606,-1.61832256
0.62500000,-7.08362293,-8.87992477,-1.79630184,-0.77414459,-12.34509277,-11.57094818,7.17101645,-0.99792480,-8.16894126,0.69689734,-2.31171370,-3.00861103,2.19114862,0.87573719,-1.31541143,-5.34801928,-95.28369904,-89.93567976,-0.15238095,-1.92387795,-1.77149701
1.10000000,-4.95593023,-6.32664680,-1.37071657,-0.37366477,-8.68725681,-8.31359205,5.33199161,-0.57950014,-5.91149175,0.33760608,-0.88442183,-1.22202791,0.47529411,0.36295611,-0.11233800,-2.87022200,-53.11751556,-50.24729356,-0.03297657,-1.54120803,-1.50823146
1.57500000,-3.56793284,-4.60575485,-1.03782201,-0.19343162,-6.30178404,-6.10835242,3.90252325,-0.34092656,-4.24344981,0.17687561,-0.36055341,-0.53742902,0.10259604,0.15211712,0.04952108,-1.62869331,-31.42705154,-29.79835823,-0.00836093,-1.23391223,-1.22555130
2.05000000,-2.63181281,-3.41815948,-0.78634667,-0.10602620,-4.68811846,-4.58209226,2.88809597,-0.20289911,-3.09099509,0.09781012,-0.15377285,-0.25158296,0.02194112,0.06399808,0.04205696,-0.97316188,-19.47587395,-18.50271207,-0.00262613,-0.98803461,-0.98540848
2.76250000,-1.73161232,-2.25612831,-0.52451599,-0.04695589,-3.12836123,-3.08140534,1.89694871,-0.09493011,-1.99187882,0.04346099,-0.04576279,-0.08922378,0.00209443,0.01742506,0.01533063,-0.48838787,-10.18228722,-9.69389935,-0.00065882,-0.70915377,-0.70849495
3.47500000,-1.18273926,-1.53957081,-0.35683155,-0.02264177,-2.17017150,-2.14752973,1.29124045,-0.04528711,-1.33652756,0.02083944,-0.01454008,-0.03537952,0.00018258,0.00470485,0.00452227,-0.26571285,-5.69171429,-5.42600144,-0.00022770,-0.51085198,-0.51062428
4.18750000,-0.83310246,-1.08126736,-0.24816489,-0.01169622,-1.55432773,-1.54263151,0.90621392,-0.02196456,-0.92817849,0.01065224,-0.00487849,-0.01553073,0.00001418,0.00125771,0.00124353,-0.15401559,-3.35837054,-3.20435495,-0.00009390,-0.36989760,-0.36980371
